a,name,gender
ADI SHANKARA,adi shankara,male
ADIB,adib,male
ADIEL,adiel,male
ADIL,adil,male
ADILSON,adilson,male
ADINATH,adinath,male
ADITARDO,aditardo,male
ADLAI,adlai,male
ADLEY,adley,male
ADMON,admon,male
ADO,ado,male
ADOLFO,adolfo,male
ADOLPH,adolph,male
ADON,adon,male
ADONAI,adonai,male
ADONIS,adonis,male
ADREW,adrew,male
ADRIAN,adrian,male
ADRIANO,adriano,male
ADRIEL,adriel,male
ADRIO,adrio,male
ADRION,adrion,male
ADRISTA,adrista,male
ADRIAN,adrián,male
ADULFO,adulfo,male
ADVENTOR,adventor,male
ADYUTO,adyuto,male
ADYUTOR,adyutor,male
ADAN,adán,male
AENEAS,aeneas,male
AERON,aeron,male
AFIA,afia,male
AFMATUFAL,afmatufal,male
AFMATUN,afmatun,male
AFRAATES,afraates,male
AFRIANO,afriano,male
AFRICANO,africano,male
AFRIDES,afrides,male
AFRODISIO,afrodisio,male
AFTON,afton,male
AFTONIO,aftonio,male
AGABE,agabe,male
AGABIO,agabio,male
AGABO,agabo,male
AGAMENON,agamenón,male
AGAPIO,agapio,male
AGAPITO,agapito,male
AGASTYA,agastya,male
AGATANGELO,agatangelo,male
AGATOCLIO,agatoclio,male
AGATODORO,agatodoro,male
AGATON,agaton,male
AGATONICO,agatonico,male
AGATOPODES,agatopodes,male
AGEO,ageo,male
AGERICO,agerico,male
AGHASURA,aghásura,male
AGILBERTO,agilberto,male
AGILEO,agileo,male
AGNANO,agnano,male
AGNELO,agnelo,male
AGNEW,agnew,male
AGNI,agni,male
AGOARDO,agoardo,male
AGOP,agop,male
AGOSTINO,agostino,male
AGRICIO,agricio,male
AGRICOLA,agricola,male
AGRIPA,agripa,male
AGRIPINO,agripino,male
AGURI,aguri,male
AGUST,agust,male
AGUSTI,agusti,male
AGUSTIN,agustin,male
AGUSTINO,agustino,male
AGUSTIN,agustín,male
AHARON,aharon,male
AHEARN,ahearn,male
AHIAN,ahian,male
AHMAD,ahmad,male
AHMED,ahmed,male
AHMIK,ahmik,male
AHUARCUDEN,ahuarcuden,male
AHUARELHUE,ahuarelhue,male
AHUASAHUAS,ahuasahuas,male
AHUE,ahue,male
AHUECHEI,ahuechei,male
AHUELN,ahueln,male
AHUEN,ahuen,male
AHUEQUECHI,ahuequechi,male
AHUEUCULEN,ahueuculen,male
AHUEUN,ahueun,male
AHUIRCUN,ahuircun,male
AHUIN,ahuiñ,male
AHUUCAN,ahuucan,male
AHUUCANENTUN,ahuucanentun,male
AHUUCAQUECHI,ahuucaquechi,male
AHUULN,ahuuln,male
AHUUN,ahuun,male
AHUUNMAN,ahuunman,male
AHUURHUUR,ahuurhuur,male
AHUUULN,ahuuuln,male
AHUUUN,ahuuun,male
AHUUUNDUNGU,ahuuundungu,male
AIAN,aian,male
AICARDO,aicardo,male
AICON,aicon,male
AIDAN,aidan,male
AIDANO,aidano,male
AIFIN,aifin,male
AIGULFO,aigulfo,male
AIHUIN'N,aihuiñ'n,male
AIHUNTUN,aihuñtun,male
AILEN,ailen,male
AILIN,ailin,male
AILINCO,ailiñco,male
AILLA,ailla,male
AILLALELU,aillalelu,male
AILLAPATACA,aillapataca,male
AILLAREHUE,aillarehue,male
AIMAR,aimar,male
AIMARDO,aimardo,male
AIMERY,aimery,male
AIME,aimé,male
AINSLIE,ainslie,male
AIOSHA,aiosha,male
AITALAS,aitalas,male
AITOR,aitor,male
AJANI,ajani,male
AJAY,ajay,male
AKAGI,akagi,male
AKARI,akari,male
AKBAR,akbar,male
AKI,aki,male
AKIF,akif,male
AKIO,akio,male
AKIRA,akira,male
AKIVA,akiva,male
AKSAPADA GOTAMA,aksapada gótama,male
AKSEL,aksel,male
AL,al,male
ALACIEL,alaciel,male
ALADDIN,aladdin,male
ALADINO,aladino,male
ALAIAN,alaian,male
ALAIN,alain,male
ALAIR,alair,male
ALAM,alam,male
ALAN,alan,male
ALANO,alano,male
ALAOR,alaor,male
ALARIC,alaric,male
ALARICO,alarico,male
ALASTAIR,alastair,male
ALBAN,alban,male
ALBANO,albano,male
ALBAR,albar,male
ALBEIRO,albeiro,male
ALBEN,alben,male
ALBERICO,alberico,male
ALBERT,albert,male
ALBERTO,alberto,male
ALBIN,albin,male
ALBINO,albino,male
ALBUINO,albuino,male
ALCANDER,alcander,male
ALCEO,alceo,male
ALCIBIADES,alcibiades,male
ALCIBIADES,alcibíades,male
ALCIDES,alcides,male
ALCUMMAYU,alcummayu,male
ALDAIR,aldair,male
ALDAN,aldan,male
ALDELMO,aldelmo,male
ALDEMAR,aldemar,male
ALDER,alder,male
ALDERICO,alderico,male
ALDEVAR,aldevar,male
ALDO,aldo,male
ALDWYN,aldwyn,male
ALEARDO,aleardo,male
ALEC,alec,male
ALECIO,alecio,male
ALED,aled,male
ALEIX,aleix,male
ALEJANDRO,alejandro,male
ALEJO,alejo,male
ALEK,alek,male
ALEKSAN,aleksan,male
ALEKSEY,aleksey,male
ALEKSY,aleksy,male
ALEM,alem,male
ALEN,alen,male
ALERON,aleron,male
ALESANDRO,alesandro,male
ALESER,aleser,male
ALESIO,alesio,male
ALESSANDRO,alessandro,male
ALESSIO,alessio,male
ALEX,alex,male
ALEXAN,alexan,male
ALEXANDER,alexander,male
ALEXANDRE,alexandre,male
ALEXANDRO,alexandro,male
ALEXANDROS,alexandros,male
ALEXEI,alexei,male
ALEXEY,alexey,male
ALEXIRIZ,alexiriz,male
ALFA,alfa,male
ALFEO,alfeo,male
ALFIERI,alfieri,male
ALFIO,alfio,male
ALFONSO,alfonso,male
ALFREDO,alfredo,male
ALGAR,algar,male
ALGER,alger,male
ALGERICO,algerico,male
ALHUE,alhue,male
ALI,ali,male
ALIBAR,alibar,male
ALIGUEN,aliguen,male
ALIK,alik,male
ALIM,alim,male
ALIPO,alipo,male
ALIRIO,alirio,male
ALISTAIR,alistair,male
ALIXSE,alixse,male
ALKUN,alkun,male
ALLAN,allan,male
ALLARD,allard,male
ALLEN,allen,male
ALMANDOS,almandos,male
ALMANZOR,almanzor,male
ALMAQUIO,almaquio,male
ALMIRO,almiro,male
ALOISIO,aloisio,male
ALOIZ,aloiz,male
ALOJZ,alojz,male
ALON,alon,male
ALONSO,alonso,male
ALPHONSE,alphonse,male
ALPINIANO,alpiniano,male
ALSTON,alston,male
ALTAIR,altair,male
ALTER,alter,male
ALTON,alton,male
ALUEL,aluel,male
ALUHUE,aluhue,male
ALULA,alula,male
ALUN,alun,male
ALVAR,alvar,male
ALVARO,alvaro,male
ALVESIO,alvesio,male
ALVIN,alvin,male
ALVIS,alvis,male
AMABELLO,amabello,male
AMADEO,amadeo,male
AMADEUS,amadeus,male
AMADIS,amadis,male
AMADO,amado,male
AMADOR,amador,male
AMALIO,amalio,male
AMAN,aman,male
AMANCIO,amancio,male
AMANDIO,amandio,male
AMANDO,amando,male
AMARA SIMJA,amara simja,male
AMARA-KOSHA,amara-kosha,male
AMARANTO,amaranto,male
AMARINO,amarino,male
AMARO,amaro,male
AMARU,amaru,male
AMAURI,amauri,male
AMBARISHA,ambarisha,male
AMBICO,ambico,male
AMBROSIO,ambrosio,male
AMED,amed,male
AMEL,amel,male
AMELIO,amelio,male
AMENHOTEP,amenhotep,male
AMERICO,americo,male
AMGEHINO,amgehino,male
AMIDEO,amideo,male
AMIEL,amiel,male
AMILCAR,amilcar,male
AMILKAR,amilkar,male
AMIN,amin,male
AMIR,amir,male
AMIRI,amiri,male
AMIT,amit,male
AMITTAI,amittai,male
AMMIANO,ammiano,male
AMMIEL,ammiel,male
AMMON,ammon,male
AMMONIO,ammonio,male
AMON,amon,male
AMORINO,amorino,male
AMOS,amos,male
AMPELIO,ampelio,male
AMPELO,ampelo,male
AMPLIADO,ampliado,male
AMSHA,amsha,male
AMUYEN,amuyen,male
AMERICO,américo,male
AMILCAR,amílcar,male
AMOS,amós,male
ANACARIO,anacario,male
ANACLETO,anacleto,male
ANACREOTE,anacreote,male
ANANIAS,ananias,male
ANANIAS,ananías,male
ANASTACIO,anastacio,male
ANASTASIO,anastasio,male
ANATALON,anatalon,male
ANATOL,anatol,male
ANATOLE,anatole,male
ANATOLIO,anatolio,male
ANAXAGORAS,anaxagoras,male
ANDE,ande,male
ANDEOLO,andeolo,male
ANDER,ander,male
ANDERS,anders,male
ANDERSON,anderson,male
ANDERSSON,andersson,male
ANDES,andes,male
ANDHAKA,andhaka,male
ANDINO,andino,male
ANDONI,andoni,male
ANDOQUIO,andoquio,male
ANDRANIK,andranik,male
ANDRE,andre,male
ANDRES,andres,male
ANDREAS,andreas,male
ANDREI,andrei,male
ANDRES,andres,male
ANDREUS,andreus,male
ANDREW,andrew,male
ANDREY,andrey,male
ANDRIAN,andrian,male
ANDRIES,andries,male
ANDRO,andro,male
ANDROCLES,androcles,male
ANDROGEO,androgeo,male
ANDRONICO,andronico,male
ANDRY,andry,male
ANDRES,andrés,male
ANDRONICO,andrónico,male
ANDY,andy,male
ANECTO,anecto,male
ANELE,anele,male
ANEMPODISTO,anempodisto,male
ANESIO,anesio,male
ANFILOQUIO,anfiloquio,male
ANFION,anfion,male
ANGEL,angel,male
ANGELICO,angelico,male
ANGELO,angelo,male
ANGILBERTO,angilberto,male
ANGULO,angulo,male
ANGUS,angus,male
ANIAH,aniah,male
ANIANO,aniano,male
ANIBAL,anibal,male
ANICETO,aniceto,male
ANIELI,anieli,male
ANIELLO,aniello,male
ANIL,anil,male
ANISIO,anisio,male
ANKARI,ankari,male
ANKER,anker,male
ANOKI,anoki,male
ANOLFO,anolfo,male
ANON,anon,male
ANQUISES,anquises,male
ANSANO,ansano,male
ANSBERTO,ansberto,male
ANSCARIO,anscario,male
ANSEL,ansel,male
ANSELME,anselme,male
ANSELMO,anselmo,male
ANSOVINO,ansovino,male
ANTAR,antar,male
ANTARES,antares,male
ANTELMO,antelmo,male
ANTELO,antelo,male
ANTENOR,antenor,male
ANTEO,anteo,male
ANTERO,antero,male
ANTES,antes,male
ANTHONY,anthony,male
ANTIDIO,antidio,male
ANTIGONO,antigono,male
ANTIMO,antimo,male
ANTINO,antino,male
ANTINOGENES,antinogenes,male
ANTIOCO,antioco,male
ANTIPAS,antipas,male
ANTOINE,antoine,male
ANTOLIANO,antoliano,male
ANTOLIN,antolin,male
ANTON,anton,male
ANTONELLO,antonello,male
ANTONI,antoni,male
ANTONINO,antonino,male
ANTONIO,antonio,male
ANTONIOS,antonios,male
ANTONY,antony,male
ANTRANIG,antranig,male
ANTSISE,antsise,male
ANTU,antu,male
ANTUAL,antual,male
ANTUAN,antuan,male
ANTUN,antun,male
ANUAR,anuar,male
ANULEN,anulen,male
ANVON,anvon,male
ANWAR,anwar,male
ANIBAL,aníbal,male
APARICIO,aparicio,male
APAZ,apaz,male
APEES,apees,male
APELES,apeles,male
APELIO,apelio,male
APIANO,apiano,male
APODEMIO,apodemio,male
APOLINAR,apolinar,male
APOLINARIO,apolinario,male
APOLO,apolo,male
APOLODORO,apolodoro,male
APOLONIO,apolonio,male
APRO,apro,male
APRONIANO,aproniano,male
APTONIO,aptonio,male
APULEYO,apuleyo,male
AQUILA,aquila,male
AQUILEO,aquileo,male
AQUILES,aquiles,male
AQUILINO,aquilino,male
ARABIA,arabia,male
ARACIO,aracio,male
ARADOR,arador,male
ARAEL,arael,male
ARAKEL,arakel,male
ARAM,aram,male
ARAMIS,aramis,male
ARASH,arash,male
ARAUCO,arauco,male
ARBEY,arbey,male
ARBOGASTO,arbogasto,male
ARCADIO,arcadio,male
ARCANGEL,arcangel,male
ARCENIO,arcenio,male
ARCHALUIS,archaluis,male
ARCHER,archer,male
ARCHIBALD,archibald,male
ARCHIBALDO,archibaldo,male
ARCHIE,archie,male
ARCONCIO,arconcio,male
ARDACHES,ardaches,male
ARDALION,ardalion,male
ARDASHES,ardashes,male
ARDEN,arden,male
ARDIN,ardin,male
ARDON,ardon,male
ARDUINO,arduino,male
AREB,areb,male
AREF,aref,male
AREK,arek,male
AREN,aren,male
ARES,ares,male
ARETAS,aretas,male
ARGENTINO,argentino,male
ARGEO,argeo,male
ARGIMIRO,argimiro,male
ARGUS,argus,male
ARI,ari,male
ARIAN,arian,male
ARIANO,ariano,male
ARIC,aric,male
ARICIN,aricin,male
ARIE,arie,male
ARIEL,ariel,male
ARIF,arif,male
ARIK,arik,male
ARIM,arim,male
ARIO,ario,male
ARION,arion,male
ARIOSTO,ariosto,male
ARISTARCO,aristarco,male
ARISTEO,aristeo,male
ARISTIDES,aristides,male
ARISTION,aristion,male
ARISTIPO,aristipo,male
ARISTO,aristo,male
ARISTOBULO,aristobulo,male
ARISTOCLES,aristocles,male
ARISTOFANES,aristofanes,male
ARISTON,ariston,male
ARISTONICO,aristonico,male
ARISTOTELES,aristoteles,male
ARISTOTELES,aristóteles,male
ARJUNA,arjuna,male
ARKIN,arkin,male
ARLEY,arley,male
ARMAN,arman,male
ARMAND,armand,male
ARMANDE,armande,male
ARMANDO,armando,male
ARMANTARIO,armantario,male
ARMEN,armen,male
ARMENIO,armenio,male
ARMINDO,armindo,male
ARMOGASTES,armogastes,male
ARNALDO,arnaldo,male
ARNAUD,arnaud,male
ARNDT,arndt,male
ARNE,arne,male
ARNIE,arnie,male
ARNO,arno,male
ARNOL,arnol,male
ARNOLD,arnold,male
ARNOLDO,arnoldo,male
ARNOLFO,arnolfo,male
ARNON,arnon,male
ARNULFO,arnulfo,male
AROLDO,aroldo,male
ARON,aron,male
ARONCIO,aroncio,male
ARQUELAO,arquelao,male
ARQUIMIDES,arquimides,male
ARQUIPO,arquipo,male
ARQUIMEDES,arquímedes,male
ARRIGO,arrigo,male
ARRIO,arrio,male
ARSACIO,arsacio,male
ARSEN,arsen,male
ARSENIO,arsenio,male
ARSHAK,arshak,male
ART,art,male
ARTAJERJES,artajerjes,male
ARTEMIO,artemio,male
ARTEMON,artemon,male
ARTHUR,arthur,male
ARTIN,artin,male
ARTURO,arturo,male
ARUNA,aruná,male
ARVID,arvid,male
ARWEL,arwel,male
ARY,ary,male
ARYAMAN,aryaman,male
ARYE,arye,male
ARE,aré,male
ARISTIDES,arístides,male
ASAAR,asaar,male
ASAEL,asael,male
ASAF,asaf,male
ASALFO,asalfo,male
ASBED,asbed,male
ASBEL,asbel,male
ASCANIO,ascanio,male
ASCLAS,asclas,male
ASCLEPIADES,asclepiades,male
ASCLEPIODOTO,asclepiodoto,male
ASDRUBAL,asdrubal,male
ASDRUBAL,asdrúbal,male
ASEL,asel,male
ASER,aser,male
ASET,aset,male
ASHER,asher,male
ASHFORD,ashford,male
ASHJEN,ashjen,male
ASHLIN,ashlin,male
ASHTAR,ashtar,male
ASHUATAMA,ashuatama,male
ASHUR,ashur,male
ASIER,asier,male
ASINCRITO,asincrito,male
ASISE,asise,male
ASLAN,aslan,male
ASMODEO,asmodeo,male
ASPREMO,aspremo,male
ASSUR,assur,male
ASTERINO,asterino,male
ASTIKA,astika,male
ASTIO,astio,male
ASTOR,astor,male
ASUERO,asuero,male
ASURA,asura,male
ATAHUALPA,atahualpa,male
ATAHUALPA DE LOS ANDES,atahualpa de los andes,male
ATALICIO,atalicio,male
ATALIVA,ataliva,male
ATALO,atalo,male
ATANASIO,atanasio,male
ATENODORO,atenodoro,male
ATENOGENES,atenogenes,male
ATHAN,athan,male
ATHERTON,atherton,male
ATHOS,athos,male
ATICO,atico,male
ATIEH,atieh,male
ATIEL,atiel,male
ATILA,atila,male
ATILIO,atilio,male
ATON,aton,male
ATRI,atri,male
ATTAR,attar,male
ATUEL,atuel,male
AUBERTO,auberto,male
AUBINO,aubino,male
AUBREY,aubrey,male
AUCA,auca,male
AUCTO,aucto,male
AUDACTO,audacto,male
AUDAZ,audaz,male
AUDBERTO,audberto,male
AUDEN,auden,male
AUDIFAZ,audifaz,male
AUDOMARO,audomaro,male
AUDRIC,audric,male
AUDUN,audun,male
AUGULO,augulo,male
AUGURIO,augurio,male
AUGUSTAL,augustal,male
AUGUSTO,augusto,male
AUGUSTUS,augustus,male
AUKAN,aukan,male
AUNARIO,aunario,male
AURELIANO,aureliano,male
AURELIO,aurelio,male
AUREO,aureo,male
AUSANO,ausano,male
AUSONIO,ausonio,male
AUSPICIO,auspicio,male
AUSTIN,austin,male
AUSTREGISILO,austregisilo,male
AUSTREMONIO,austremonio,male
AUSTRICLINIANO,austricliniano,male
AUTONOMO,autonomo,male
AUXANO,auxano,male
AUXENCIO,auxencio,male
AUXIBIO,auxibio,male
AUXILIO,auxilio,male
AVELINO,avelino,male
AVENTINO,aventino,male
AVERY,avery,male
AVIGDOR,avigdor,male
AVILIO,avilio,male
AVITO,avito,male
AVIV,aviv,male
AVTANDIL,avtandil,male
AWKA,awka,male
AXAEL,axael,male
AXEL,axel,male
AYARI,ayari,male
AYAX,ayax,male
AYELEN,ayelen,male
AYRTON,ayrton,male
AYUFAL,ayufal,male
AYUKELEN,ayukelen,male
AYUN,ayün,male
AZADANES,azadanes,male
AZADES,azades,male
AZARIAS,azarias,male
AZARIEL,azariel,male
AZAS,azas,male
AZIMUT,azimut,male
AZIZE,azize,male
AZRAEL,azrael,male
AZRIEL,azriel,male
AŚOKA,aśoka,male
BABILAS,babilas,male
BACO,baco,male
BADEMO,bademo,male
BADER,bader,male
BADIR,badir,male
BAHARI,bahari,male
BAHIANO,bahiano,male
BAHICH,bahich,male
BAIL,bail,male
BAILEY,bailey,male
BAINDRIDGE,baindridge,male
BAIRD,baird,male
BAKASURA,bakasura,male
BALA KRISNA,bala krisná,male
BALAM,balam,male
BALARAMA,balarama,male
BALBINO,balbino,male
BALBO,balbo,male
BALDER,balder,male
BALDOMERO,baldomero,male
BALDUINO,balduino,male
BALDUR,baldur,male
BALDWIN,baldwin,male
BALINT,balint,male
BALTAR,baltar,male
BALTASAR,baltasar,male
BALTAZAR,baltazar,male
BALTHAZAR,balthazar,male
BAMBU,bambu,male
BANCROFT,bancroft,male
BANDURY,bandury,male
BANASURA,banásura,male
BAPTISTE,baptiste,male
BARAQUISIO,baraquisio,male
BARBACIANO,barbaciano,male
BARBATO,barbato,male
BARBELO,barbelo,male
BARCLAY,barclay,male
BARDEN,barden,male
BARDOMIANO,bardomiano,male
BARIS,baris,male
BARKEV,barkev,male
BARLAAN,barlaan,male
BARNABAS,barnabas,male
BARNARD,barnard,male
BARNETT,barnett,male
BARNEY,barney,male
BARONCIO,baroncio,male
BARRETT,barrett,male
BARRY,barry,male
BARSABAS,barsabas,male
BARSEN,barsen,male
BARSIMEO,barsimeo,male
BART,bart,male
BARTOLO,bartolo,male
BARTOLOME,bartolome,male
BARTOLOME,bartolomé,male
BARTON,barton,male
BARUC,baruc,male
BARUCH,baruch,male
BARUIR,baruir,male
BARUJ,baruj,male
BARULA,barula,male
BASIANO,basiano,male
BASIL,basil,male
BASILEO,basileo,male
BASILIANO,basiliano,male
BASILIDES,basilides,male
BASILIO,basilio,male
BASILISCO,basilisco,male
BASOLO,basolo,male
BASSI,bassi,male
BASSO,basso,male
BAST,bast,male
BASTIAN,bastian,male
BAT,bat,male
BAUDELIO,baudelio,male
BAUDHAIANA,baudhaiana,male
BAUDILIO,baudilio,male
BAUTISTA,bautista,male
BAVON,bavon,male
BAXTER,baxter,male
BAYACETO,bayaceto,male
BAYAN,bayan,male
BAYARD,bayard,male
BAYULO,bayulo,male
BEACAN,beacan,male
BEAGAN,beagan,male
BEAMAN,beaman,male
BEANO,beano,male
BEATO,beato,male
BEAU,beau,male
BEAUMONT,beaumont,male
BEAUREGARD,beauregard,male
BECK,beck,male
BEDA,beda,male
BEDER,beder,male
BEISM,beism,male
BELARMINO,belarmino,male
BELDON,beldon,male
BELEROFONTE,belerofonte,male
BELGRANO,belgrano,male
BELINO,belino,male
BELISARIO,belisario,male
BELSOR,belsor,male
BELTRAN,beltran,male
BELTRAN,beltrán,male
BEM,bem,male
BEN,ben,male
BENEDICT,benedict,male
BENEDICTA,benedicta,male
BENEDICTO,benedicto,male
BENEN,benen,male
BENET,benet,male
BENETT,benett,male
BENICIO,benicio,male
BENIGNO,benigno,male
BENITO,benito,male
BENJAMIN,benjamin,male
BENJAMIN,benjamín,male
BENNETT,bennett,male
BENNY,benny,male
BENOIT,benoit,male
BENON,benon,male
BENSON,benson,male
BENT,bent,male
BENTLEY,bentley,male
BENTO,bento,male
BENYAMIN,benyamin,male
BERANGER,beranger,male
BERARDO,berardo,male
BERENGARIO,berengario,male
BERGO,bergo,male
BERGOI,bergoi,male
BERGREN,bergren,male
BERK,berk,male
BERKELEY,berkeley,male
BERKO,berko,male
BERN,bern,male
BERNABE,bernabe,male
BERNABE,bernabé,male
BERNARD,bernard,male
BERNARDINO,bernardino,male
BERNARDO,bernardo,male
BERNE,berne,male
BERNHARD,bernhard,male
BERNIAGO,berniago,male
BERNIE,bernie,male
BERNON,bernon,male
BERNWARDO,bernwardo,male
BERONICO,beronico,male
BERT,bert,male
BERTEL,bertel,male
BERTHOLD,berthold,male
BERTIL,bertil,male
BERTINO,bertino,male
BERTOLDO,bertoldo,male
BERTON,berton,male
BERTRAND,bertrand,male
BERTULFO,bertulfo,male
BESA,besa,male
BESARION,besarion,male
BETO,beto,male
BETUEL,betuel,male
BEVAN,bevan,male
BHAGA,bhaga,male
BHAJAN,bhajan,male
BHARADVAYA,bharadvaya,male
BHARATA,bharata,male
BHAVAVIVEKA,bhavaviveka,male
BHAYRON,bhayron,male
BHIMA,bhima,male
BHISHMA,bhishmá,male
BHRIGU,bhrigu,male
BIAGIO,biagio,male
BIALY,bialy,male
BIANOR,bianor,male
BIBLIDES,biblides,male
BICOR,bicor,male
BIENVENIDO,bienvenido,male
BILAL,bilal,male
BILLY,billy,male
BINIAMIN,biniamin,male
BIRILO,birilo,male
BIRINO,birino,male
BIRNEY,birney,male
BIRTLE,birtle,male
BISHOP,bishop,male
BIVIANO,biviano,male
BJORN,bjorn,male
BLADE,blade,male
BLADIMIRO,bladimiro,male
BLAINE,blaine,male
BLAISE,blaise,male
BLANDINO,blandino,male
BLAS,blas,male
BLASCO,blasco,male
BLASIDES,blasides,male
BLAZE,blaze,male
BLY,bly,male
BOB,bob,male
BODEN,boden,male
BOECIO,boecio,male
BOGART,bogart,male
BOGDAN,bogdan,male
BOGOS,bogos,male
BOGUMIL,bogumil,male
BOGUSŁAW,bogusław,male
BOHDAN,bohdan,male
BOLESLAO,boleslao,male
BOLTON,bolton,male
BONAIUNTA,bonaiunta,male
BOND,bond,male
BONFILIO,bonfilio,male
BONI,boni,male
BONIFACIO,bonifacio,male
BONITO,bonito,male
BONO,bono,male
BONONIO,bononio,male
BONOSO,bonoso,male
BOOKER,booker,male
BOONE,boone,male
BORAM,boram,male
BORDEN,borden,male
BOREAS,boreas,male
BORIS,boris,male
BORJA,borja,male
BORNA,borna,male
BOSCO,bosco,male
BOULUS,boulus,male
BOUTROS,boutros,male
BOWEN,bowen,male
BOWIE,bowie,male
BOWMAN,bowman,male
BOYAN,boyan,male
BOYCE,boyce,male
BOYD,boyd,male
BOYDEN,boyden,male
BRAD,brad,male
BRADEN,braden,male
BRADFORD,bradford,male
BRADLEY,bradley,male
BRADNEY,bradney,male
BRADY,brady,male
BRAM,bram,male
BRAN,bran,male
BRANCO,branco,male
BRAND,brand,male
BRANDO,brando,male
BRANDON,brandon,male
BRANGELIO,brangelio,male
BRANIMIR,branimir,male
BRANKO,branko,male
BRANT,brant,male
BRAULIO,braulio,male
BRAXTON,braxton,male
BRAYAN,brayan,male
BRECK,breck,male
BRENCIS,brencis,male
BRENDAN,brendan,male
BRENDANO,brendano,male
BRENIE,brenie,male
BRENNAN,brennan,male
BRENO,breno,male
BRENT,brent,male
BRENTAN,brentan,male
BREOGN,breogn,male
BRETANION,bretanion,male
BRETT,brett,male
BREWSTER,brewster,male
BRFXXCCXXMNPCCCCLLLMMNPRXVCLMNCKSSQLBB11116,brfxxccxxmnpcccclllmmnprxvclmnckssqlbb11116,male
BRIAN,brian,male
BRICCIO,briccio,male
BRICE,brice,male
BRICH,brich,male
BRICIO,bricio,male
BRIEG,brieg,male
BRIGHTON,brighton,male
BRIGIDO,brigido,male
BRIHASPATI,brihaspati,male
BRIJADRATHA,brijadratha,male
BRINK,brink,male
BROCK,brock,male
BRODERICK,broderick,male
BRODY,brody,male
BRONISLAO,bronislao,male
BRONISŁAW,bronisław,male
BRONSON,bronson,male
BROOKS,brooks,male
BRUCE,bruce,male
BRUNO,bruno,male
BRUTO,bruto,male
BRYAN,bryan,male
BRYANT,bryant,male
BRYCE,bryce,male
BRYCHAN,brychan,male
BRYSON,bryson,male
BUCARDO,bucardo,male
BUCEFALO,bucefalo,male
BUCK,buck,male
BUD,bud,male
BUDA,buda,male
BUDDY,buddy,male
BUENAVENTURA,buenaventura,male
BURGESS,burgess,male
BURIAN,burian,male
BURKE,burke,male
BURNEY,burney,male
BURR,burr,male
BURT,burt,male
BURTON,burton,male
BYRD,byrd,male
BYRON,byron,male
CADIN,cadin,male
CADMIEL,cadmiel,male
CAELAN,caelan,male
CALEB,caleb,male
CALFUNAHUEL,calfunahuel,male
CALIMERIO,calimerio,male
CALINICO,calinico,male
CALIOPIO,caliopio,male
CALISTENES,calistenes,male
CALISTO,calisto,male
CALISTRATO,calistrato,male
CALIXTO,calixto,male
CALOCERO,calocero,male
CALOGERO,calogero,male
CALVIN,calvin,male
CAMACHO,camacho,male
